id,type,uid,content,add_time,ups
6694818450616697287,0,2648792307,哈哈,36609,0
6694721470255084458,0,3421515406,来了,36577,0
6694623901482971835,0,2305405894,来啦,36904,0
6694744452625090111,0,3673022008,来看尤长胖,37039,1
6694622638762584869,0,937494570,第一   第一,37000,1
6695127589478032743,0,3958135297,越优秀的人，越努力,37125,0
6694622617287748345,0,1260433953,第一,37795,1
6694982982224081643,0,2992188334,来了来了,37119,0
6694846672846863387,0,3822678933,比不过刚刚,37857,0
6694744413970384425,0,1224639268,尤长靖我来了,38264,5
6694840286230483224,0,2536088890,尤尤,38815,2
6695182230052015751,0,1446688879,珍珠糖来看主唱大人,38502,0
6694649886035147769,0,1787226352,打卡,38109,1
6694624893620419574,0,2886332125,来了来了,38259,1
6694971007855244768,0,360460683,我来咧,38106,0
6694757629584759385,0,3816622279,来看尤长靖,39172,4
6694626645967079620,0,805482890,小豆子小尤来看你们了,39759,2
6694736652964478406,0,3952233323,美美的妹妹,39938,1
6695126210793530130,0,3160517396,签的,39000,0
6694989738207646771,0,2021022394,Nana来看尤尤,39265,0
6694861378814903285,0,2093635560,"来了
来了",39866,0
6694727766677141306,0,616039024,来自全国各地,40000,1
6695151615525101906,0,2417786821,打卡,40000,0
6695015048449949139,0,1773544770,尤长靖,40017,0
6694921796119913680,0,46174037,来了来了,40367,0
6694868018834350069,0,452946037,啦啦啦,40954,0
6694821010417211563,0,2194830596,来啦,40662,0
6695084485186239783,0,1449147500,来了,41161,0
6694624343864604272,0,999198325,熬夜,41403,2
6694943081977854629,0,2164398643,呃呃呃,41000,0
6694824996146872080,0,1525923528,来啦,41012,0
6694627341751782656,0,1809914931,向往的生活,41762,0
6694730713024706886,0,1924537906,哈哈哈,41981,0
6694862736024570388,0,874743652,从密逃过来平复下心情,42125,10
6694624885030484961,0,2522576955,尤长靖,42000,4
6694735540567948513,0,1845898096,毛毛,42000,2
6694762452833035171,0,3736395438,打卡,42333,1
6694631099848172709,0,1063125224,人工阿黄我来啦,42798,1
6694962035668552282,0,2987339551,来了,42000,0
6695175461183549648,0,1935422132,大厂女孩来了,43311,2
6694837554631277270,0,4102569083,毛不易,43265,3
6695062756946687455,0,3189549279,好看好看超级好看哦！,43789,0
6694625713959174751,0,809942685,来了,43325,1
6694932520653262715,0,532380202,来了,43562,0
6694623802698723887,0,3780800059,终于等到你～～～,43000,0
6694930085406803389,0,3890578261,看李子璇的猪肉过敏来的，好可爱,44800,1
6694651711396249695,0,3514920962,大华，快回来,44626,1
6695114940799341332,0,2246027473,尤长靖,44000,0
6694646965457384266,0,3828410605,来了,44963,1
6694770484421883191,0,2217103694,打卡,44088,0
6694763676898715137,0,2767200488,好看,44892,0
6695127439154177308,0,786121484,来了,45356,0
6694622840626048073,0,676159425,第一,45649,1
6694876913711628814,0,1508605822,黄子弘凡！！！！仝卓看我，爱你们呀呀呀呀,45654,0
6694992529936392520,0,420737081,好好,45644,0
6694771197386454765,0,13988619,方猪猪,45071,0
6694726564086298216,0,2474326017,打卡打卡,45975,0
6694733337249725230,0,3284402886,喜欢尤长靖,46353,5
6694623291597614839,0,2592141144,仝卓！！！！！黄子！！！！！,46000,2
6695126060469674704,0,1613551632,来了来了,46730,0
6694910989982186375,0,2677027543,嘿嘿嘿,46376,0
6694835205284161251,0,3244798193,来看阿黄和卓儿了,46030,0
6694624154886042769,0,1924409449,"新闻所有想不到的感觉，但何老师,黄老师，我觉得越看越没劲，前两期我都是不断回看啊",46813,0
6694622939410296032,0,953736182,你喜欢瓢，为什么带走了盆,47119,2
6694895901762061626,0,3575627595,毛不易啊！,47000,1
6694639049832649343,0,3052341141,好喜欢何老师,47000,1
6694768972593394085,0,1452315561,来了,47900,0
6694631074078368890,0,4137161736,发现刘璇跟万茜有点像,47171,0
